keyword,source,industry,anchor,n_weeks,mean_norm,peak_week,peak_norm,halflife_days_weekly,expected_halflife_days
서울 소금빵,label_region,제과점,쿠팡>빵집,311,0.0001,2025-04-07,0.00092,14,
서울 오마카세,label_region,일식회집,쿠팡>스시,350,0.00088,2022-12-19,0.00234,84,
서울 우유,label_region,슈퍼마켓,쿠팡,350,0.00355,2021-12-06,0.02527,7,
서울 짜장면,label_region,중국음식,쿠팡>중식,324,1e-05,2025-07-14,0.00017,14,
서울 치킨,label_region,일반한식,쿠팡>맛집,350,0.0002,2026-03-02,0.00045,7,
서울 크로플,label_region,제과점,쿠팡>빵집,235,6e-05,2020-04-27,0.00062,14,
서울 탕후루,label_region,스넥,쿠팡>분식,243,2e-05,2023-07-31,0.00013,49,
소금빵,label,제과점,쿠팡>빵집,350,0.00352,2022-06-27,0.01056,168,
오마카세,label,일식회집,쿠팡,350,0.01061,2023-03-13,0.0331,35,
우유,label,슈퍼마켓,쿠팡>마트,350,0.00327,2020-02-24,0.00524,217,
짜장면,label,중국음식,쿠팡>중식,350,0.00612,2024-02-05,0.01023,651,
치킨,label,일반한식,쿠팡,350,0.02959,2022-11-21,0.06538,14,
크로플,label,제과점,쿠팡,350,0.00498,2020-10-05,0.02646,196,163.0
탕후루,label,스넥,쿠팡,350,0.00725,2023-08-14,0.07902,63,54.0
